"scenario","days","rep","iter","n_reports","n_factors","converged","hypothesis","sign","truth","est","lo","hi","p_positive"
"null",365,8,500,869,23,FALSE,"null:temp_mean_c",1,0,0.0023,-0.0463,0.0774,0.594
"null",365,8,500,869,23,FALSE,"null:precipitation_mm",1,0,0,-0.059,0.0506,0.5035
"null",365,8,500,869,23,FALSE,"null:sunshine_hours",1,0,0.0022,-0.0339,0.0716,0.6045
"null",365,8,500,869,23,FALSE,"null:daylight_hours",1,0,0.0018,-0.0454,0.07,0.5945
"null",365,8,500,869,23,FALSE,"null:pm25",1,0,-3e-04,-0.0647,0.0476,0.474
"null",365,8,500,869,23,FALSE,"null:indoor_pm25",1,0,0.0029,-0.033,0.0819,0.6235
"null",365,8,500,869,23,FALSE,"null:indoor_voc",1,0,-3e-04,-0.0633,0.0521,0.4785
"null",365,8,500,869,23,FALSE,"H5",1,0,0.0612,-0.4936,0.5935,0.602
"null",365,9,500,856,23,FALSE,"H1",1,0,0.0403,-0.0436,0.1877,0.8105
"null",365,9,500,856,23,FALSE,"H2",1,0,-0.0399,-0.1967,0.0561,0.21
"null",365,9,500,856,23,FALSE,"H3a",-1,0,0.0375,-0.0486,0.1777,0.76
"null",365,9,500,856,23,FALSE,"H3b",-1,0,-0.0145,-0.1417,0.0809,0.3605
"null",365,9,500,856,23,FALSE,"H4",1,0,-0.0029,-0.114,0.1104,0.469
"null",365,9,500,856,23,FALSE,"null:sleep_efficiency",1,0,-0.0418,-0.188,0.0413,0.176
"null",365,9,500,856,23,FALSE,"null:hrv_ms",1,0,0.0587,-0.027,0.1858,0.868
"null",365,9,500,856,23,FALSE,"null:resting_hr",1,0,0.0024,-0.0876,0.1068,0.5355
"null",365,9,500,856,23,FALSE,"null:skin_temp_dev_c",1,0,0.0122,-0.081,0.1308,0.624
"null",365,9,500,856,23,FALSE,"null:exercise_min",1,0,-0.0061,-0.1234,0.1066,0.4295
"null",365,9,500,856,23,FALSE,"null:outdoor_min",1,0,-0.0035,-0.1046,0.1001,0.4515
"null",365,9,500,856,23,FALSE,"null:caffeine_mg",1,0,-0.002,-0.107,0.1082,0.474
"null",365,9,500,856,23,FALSE,"null:alcohol_units",1,0,-0.0861,-0.2758,0.0174,0.086
"null",365,9,500,856,23,FALSE,"null:work_day",1,0,-0.0223,-0.1847,0.0802,0.324
"null",365,9,500,856,23,FALSE,"null:travel",1,0,0.0721,-0.0251,0.2231,0.884
"null",365,9,500,856,23,FALSE,"null:sick",1,0,-0.0117,-0.1454,0.098,0.3785
"null",365,9,500,856,23,FALSE,"null:temp_mean_c",1,0,-0.0382,-0.1916,0.0639,0.2235
"null",365,9,500,856,23,FALSE,"null:precipitation_mm",1,0,-0.0023,-0.1073,0.0929,0.469
"null",365,9,500,856,23,FALSE,"null:sunshine_hours",1,0,0.0193,-0.0684,0.1422,0.6955
"null",365,9,500,856,23,FALSE,"null:daylight_hours",1,0,-0.0226,-0.1598,0.0849,0.318
"null",365,9,500,856,23,FALSE,"null:pm25",1,0,-0.0096,-0.1201,0.0813,0.3865
"null",365,9,500,856,23,FALSE,"null:indoor_pm25",1,0,-0.0201,-0.144,0.0702,0.323
"null",365,9,500,856,23,FALSE,"null:indoor_voc",1,0,-0.0189,-0.1432,0.0735,0.323
"null",365,9,500,856,23,FALSE,"H5",1,0,0.083,-0.5317,0.5809,0.62
"null",365,10,500,873,23,FALSE,"H1",1,0,-8e-04,-0.0655,0.0566,0.458
"null",365,10,500,873,23,FALSE,"H2",1,0,-0.0026,-0.0756,0.0433,0.405
